おはよう ございます,Good (early) morning
こんにちは,Good afternoon
こんばんは,Good evening
おやすみ なさい,Good Night (bye)
どうも ありがとう ございます,Thank you (very much)
どういたしまして,You're welcome
はじみまして,Nice to meet you
どうぞ よろしく,Thanks in advance
おなまえはなんですか,What is your name?
おげんきですか,Are you well?
げんきです,I am well
いって　きます,"I'm off (to work/school)"
いってらっしゃい,See you when you get home (from your day)
ただいま,I'm home
おかえりなさい,Welcome back
すみません,I'm Sorry
しつれい　します,Excuse me
さよなら,Goodbye
でわ,Well then (time to go...)
じゃ、また,See you later
また　ね,Later!
じゃあ　ね,See ya
いいえ,No
はい,Yes
いい,Good
